date,channel,impressions,spend
05-11-2024,App,3130,1431.85
05-11-2024,App,3925,4506.34
05-11-2024,Email,7012,4524.23
05-11-2024,SMS,1115,3622.79
05-11-2024,Email,7172,2888.99
05-11-2024,App,4333,2714.78
05-11-2024,Email,4752,3584.76
05-11-2024,Social Media,1559,1457.88
05-11-2024,SMS,3838,4808.64
04-11-2024,SMS,6289,3746.35
04-11-2024,App,1068,1043.7
04-11-2024,Social Media,4229,1370.63
04-11-2024,App,2712,4870.23
04-11-2024,Social Media,9365,3817.01
04-11-2024,App,4813,2512.51
04-11-2024,Social Media,8840,1776.92
04-11-2024,App,7409,1599.21
04-11-2024,SMS,1997,3328.47
03-11-2024,Social Media,9594,3712.46
03-11-2024,Email,8974,4907.38
03-11-2024,Email,7102,1454.23
03-11-2024,Social Media,9487,1364.19
03-11-2024,Email,5922,1815.23
03-11-2024,App,4630,4337.91
03-11-2024,Email,6291,4644.01
03-11-2024,Email,6347,2352.91
03-11-2024,Email,2465,4857.36
02-11-2024,App,7171,3120.88
02-11-2024,App,6082,1897.04
02-11-2024,Social Media,3297,3819.45
02-11-2024,App,5550,1947.14
02-11-2024,SMS,3446,3415.84
02-11-2024,SMS,8998,4905.7
02-11-2024,App,7562,2298.76
02-11-2024,SMS,1423,1818.73
02-11-2024,Email,7215,2202.62
01-11-2024,App,4360,1905.02
01-11-2024,Email,9713,2062.29
01-11-2024,Email,5538,2486.88
01-11-2024,App,8141,4123.86
01-11-2024,SMS,4249,1330.62
01-11-2024,SMS,1489,2527.82
01-11-2024,Email,5817,4371.4
01-11-2024,Email,9893,3569
01-11-2024,Email,6898,4874.26
31-10-2024,Email,7876,1813.53
31-10-2024,SMS,5624,3572.92
31-10-2024,App,1081,2001.9
31-10-2024,App,4511,1645.66
31-10-2024,SMS,1810,1279.23
31-10-2024,SMS,3930,4678.74
31-10-2024,Email,8796,2339.85
31-10-2024,App,2341,2721.86
31-10-2024,Email,9694,3162.72
30-10-2024,Email,8433,2510.51
30-10-2024,App,4788,2603.2
30-10-2024,App,5744,1966.98
30-10-2024,App,4130,1741.85
30-10-2024,SMS,7316,1650.8
30-10-2024,SMS,7583,4937.7
30-10-2024,App,2155,2233.21
30-10-2024,Email,3245,1970.09
30-10-2024,App,3328,3212.25
29-10-2024,Email,3832,2133.42
29-10-2024,SMS,6494,2744.72
29-10-2024,Email,2851,1415.72
29-10-2024,App,2489,1101.24
29-10-2024,Email,5187,1185.35
29-10-2024,SMS,3949,4568.63
29-10-2024,Email,8668,3904.68
29-10-2024,SMS,1771,2154.4
29-10-2024,Email,1377,2165.16
28-10-2024,SMS,4258,2098.74
28-10-2024,Email,2239,1183.89
28-10-2024,SMS,1666,3586.46
28-10-2024,App,1679,1452.05
28-10-2024,Email,2775,4290.98
28-10-2024,App,1153,3455.94
28-10-2024,SMS,6100,3409.53
28-10-2024,App,1618,3165.37
28-10-2024,Email,1927,2617.58
27-10-2024,Email,1685,1055.61
27-10-2024,App,1085,4118.41
27-10-2024,App,4726,3577.71
27-10-2024,Email,9194,2925.63
27-10-2024,Email,3122,2365.57
27-10-2024,Social Media,6487,3457.17
27-10-2024,App,3049,2093.96
27-10-2024,App,2399,4785.81
27-10-2024,Social Media,4881,4549.44
26-10-2024,App,8865,1137.88
26-10-2024,SMS,7698,4992.5
26-10-2024,SMS,1600,4917.53
26-10-2024,SMS,9800,3310.25
26-10-2024,SMS,9214,3400.97
26-10-2024,SMS,2315,4403.4
26-10-2024,Email,1723,1558.93
26-10-2024,Social Media,1002,3599.79
26-10-2024,Social Media,3797,3393.94
25-10-2024,App,7239,4575.26
25-10-2024,Email,2258,2383.71
25-10-2024,App,5882,4474.48
25-10-2024,Email,8130,1715.46
25-10-2024,App,6268,3117.62
25-10-2024,App,5437,4583.85
25-10-2024,Email,7010,1599.34
25-10-2024,Email,4970,1947.23
25-10-2024,Email,5429,2842.37
24-10-2024,App,3144,3704.05
24-10-2024,Social Media,5133,2318.95
24-10-2024,App,6569,3218.48
24-10-2024,App,8501,2437.64
24-10-2024,Social Media,9012,1598.76
24-10-2024,Email,7685,2199.05
24-10-2024,Social Media,1753,4052.53
24-10-2024,SMS,7736,2749.84
24-10-2024,Social Media,3112,4882.83
23-10-2024,SMS,8261,2599.3
23-10-2024,SMS,6370,3516.78
23-10-2024,Social Media,4553,2363.94
23-10-2024,Social Media,7358,2165.36
23-10-2024,Social Media,9385,1921.19
23-10-2024,Social Media,7577,2804.3
23-10-2024,SMS,8240,4191.03
23-10-2024,App,2233,4199.36
23-10-2024,App,4653,2303.42
22-10-2024,App,6516,4332.69
22-10-2024,Social Media,9587,1323.74
22-10-2024,Email,6955,3341.07
22-10-2024,Social Media,6347,3934.71
22-10-2024,SMS,9964,2695.95
22-10-2024,Email,8285,3909.95
22-10-2024,SMS,7265,2495.46
22-10-2024,Social Media,2648,3747
22-10-2024,SMS,3803,1671.16
21-10-2024,SMS,6378,4974.32
21-10-2024,Email,8974,1741.34
21-10-2024,SMS,4976,1855.65
21-10-2024,SMS,9348,4546.79
21-10-2024,App,7432,1618.63
21-10-2024,SMS,9433,1670.95
21-10-2024,Email,3212,3964.61
21-10-2024,Email,4395,1766.03
21-10-2024,Social Media,7680,1652.23
20-10-2024,SMS,5143,4882.61
20-10-2024,App,7842,1927.22
20-10-2024,SMS,9486,1686.15
20-10-2024,SMS,2952,4037.84
20-10-2024,App,8414,2195.8
20-10-2024,Email,4330,1104.8
20-10-2024,SMS,6870,4219.18
20-10-2024,Email,8382,1921.49
20-10-2024,Social Media,3200,1614.98
19-10-2024,SMS,1554,2667.73
19-10-2024,Social Media,7754,2335.89
19-10-2024,Social Media,4586,2372.56
19-10-2024,App,2553,4591.88
19-10-2024,Social Media,6285,3257.45
19-10-2024,Email,8086,4006.13
19-10-2024,SMS,3595,3807.41
19-10-2024,App,3648,1167.11
19-10-2024,App,6139,4850.15
18-10-2024,App,2358,3039.4
18-10-2024,Social Media,1311,3593.2
18-10-2024,App,8837,2017.25
18-10-2024,App,8394,1419.59
18-10-2024,App,1025,1872.13
18-10-2024,Social Media,5313,1187.93
18-10-2024,App,9195,3435.03
18-10-2024,Email,7683,4746.76
18-10-2024,Social Media,2064,1312.97
17-10-2024,SMS,6077,4324.59
17-10-2024,App,6986,2756.39
17-10-2024,SMS,6475,3389.57
17-10-2024,App,4621,2010.23
17-10-2024,Email,4866,2036.43
17-10-2024,Social Media,7936,4318.97
17-10-2024,SMS,1465,1536.67
17-10-2024,App,2312,2525.56
17-10-2024,Email,9067,1057.25
16-10-2024,Email,3217,1361.43
16-10-2024,App,7529,4082.14
16-10-2024,Social Media,3138,1622.33
16-10-2024,App,4765,2277.77
16-10-2024,SMS,9683,2353.78
16-10-2024,SMS,2176,4239.19
16-10-2024,SMS,5570,2175.55
16-10-2024,SMS,3914,3267.78
16-10-2024,Social Media,5481,4609.27
15-10-2024,Social Media,4109,2389.82
15-10-2024,Social Media,5724,3027.31
15-10-2024,Social Media,1034,4438.6
15-10-2024,Social Media,4919,4818.43
15-10-2024,SMS,5174,3036.37
15-10-2024,Social Media,3416,4018.36
15-10-2024,Email,8930,1510.67
15-10-2024,Email,3597,4273.24
15-10-2024,Email,3344,2786.73
14-10-2024,Social Media,9878,1995.07
14-10-2024,App,4890,3933.1
14-10-2024,Email,5261,1902.86
14-10-2024,Email,7155,1727.08
14-10-2024,Social Media,7279,4386.41
14-10-2024,Email,5884,2415.08
14-10-2024,SMS,1558,2979.87
14-10-2024,Email,8221,1357.64
14-10-2024,SMS,6749,4576.84
13-10-2024,SMS,3365,3397.73
13-10-2024,App,8092,1253.01
13-10-2024,SMS,8092,2546.42
13-10-2024,Email,9841,4278.17
13-10-2024,App,7336,2485.13
13-10-2024,App,7572,2233.11
13-10-2024,App,6174,2242.83
13-10-2024,SMS,3743,3512.16
13-10-2024,App,8629,4036.51
12-10-2024,App,1582,1487.46
12-10-2024,App,3803,1690.55
12-10-2024,Email,8047,2066.11
12-10-2024,Email,1732,3754.68
12-10-2024,Social Media,9818,3600.34
12-10-2024,Social Media,6043,4668.71
12-10-2024,Social Media,6666,4173.34
12-10-2024,SMS,1248,2981.17
12-10-2024,Email,7619,3264.04
11-10-2024,Social Media,7827,4438.83
11-10-2024,Social Media,9723,3776.75
11-10-2024,Social Media,2923,4736.19
11-10-2024,App,2551,4034.21
11-10-2024,Email,3858,2823.22
11-10-2024,Social Media,4483,4604.45
11-10-2024,SMS,4928,4151.88
11-10-2024,App,1141,4295.89
11-10-2024,SMS,6498,4191.4
10-10-2024,Social Media,1828,1481.29
10-10-2024,Social Media,4318,2539.79
10-10-2024,SMS,8503,2417.7
10-10-2024,SMS,1281,3766.62
10-10-2024,Social Media,2427,4812.47
10-10-2024,App,3864,4521.91
10-10-2024,SMS,7568,4097.25
10-10-2024,Social Media,3191,4674.18
10-10-2024,Social Media,3092,3281.4
09-10-2024,App,4131,1980.81
09-10-2024,Social Media,4112,1487.4
09-10-2024,SMS,3891,1427.62
09-10-2024,App,3815,2246.88
09-10-2024,Social Media,8314,4745.57
09-10-2024,App,6641,4227.26
09-10-2024,App,4091,1486.72
09-10-2024,App,5857,3662.32
09-10-2024,Email,6260,2575.54
08-10-2024,App,8521,4575.74
08-10-2024,SMS,4497,3269.78
08-10-2024,SMS,8249,2213.81
08-10-2024,SMS,7088,2353.7
08-10-2024,App,4046,1630.04
08-10-2024,Social Media,9786,2972.28
08-10-2024,Email,2812,4413.07
08-10-2024,SMS,5291,4082.16
08-10-2024,Email,5613,1034.9
07-10-2024,Email,8029,4087.75
07-10-2024,Social Media,7518,2771.88
07-10-2024,SMS,4984,2497.43
07-10-2024,App,4202,2513.73
07-10-2024,Email,6939,3927.86
07-10-2024,SMS,2581,3518.26
07-10-2024,Email,1081,1227.18
07-10-2024,SMS,7933,3857.05
07-10-2024,Email,5780,2377.05
06-10-2024,App,2358,1189.46
06-10-2024,App,9977,3025.67
06-10-2024,SMS,2274,1102.91
06-10-2024,Email,4171,4676.32
06-10-2024,SMS,7939,1753.8
06-10-2024,SMS,8760,4339.28
06-10-2024,Email,3100,4313.18
06-10-2024,App,7054,2847.69
06-10-2024,Email,6788,4454.21
05-10-2024,App,5915,4173.92
05-10-2024,Social Media,5590,1106.09
05-10-2024,Social Media,3427,1833.76
05-10-2024,SMS,2108,4877.23
05-10-2024,Social Media,1475,2772.31
05-10-2024,App,6540,1269.01
05-10-2024,Social Media,6166,3932.73
05-10-2024,App,6801,2500.47
05-10-2024,SMS,9703,4213.46
04-10-2024,Email,5611,4129.01
04-10-2024,App,2256,4797.55
04-10-2024,Email,6759,2307.54
04-10-2024,SMS,4886,2746.41
04-10-2024,Email,3616,1841.76
04-10-2024,App,4701,4980.88
04-10-2024,App,9171,3036.79
04-10-2024,App,2462,2835.74
04-10-2024,Email,2449,1225.24
03-10-2024,Social Media,5380,3899.44
03-10-2024,SMS,8710,3191.69
03-10-2024,SMS,3296,2676.04
03-10-2024,App,5160,4418.48
03-10-2024,App,9200,3255.93
03-10-2024,Social Media,3255,2766.51
03-10-2024,Email,6874,1642.59
03-10-2024,SMS,3373,2077.07
03-10-2024,Email,4041,3636.84
02-10-2024,SMS,4440,1426.39
02-10-2024,Email,5164,1058.86
02-10-2024,Email,8702,3045.76
02-10-2024,SMS,1064,1401.41
02-10-2024,Email,2133,3282.05
02-10-2024,Social Media,2330,2342.55
02-10-2024,Social Media,3801,2145.8
02-10-2024,App,8940,4831.21
02-10-2024,Social Media,9387,1874.97
01-10-2024,Social Media,2586,4044.28
01-10-2024,SMS,5644,3825.87
01-10-2024,Email,1091,2443.05
01-10-2024,Social Media,4923,3284.33
01-10-2024,Email,7032,2002.69
01-10-2024,Email,5986,1932.62
01-10-2024,Social Media,5379,3056
01-10-2024,SMS,8296,2633.2
01-10-2024,Email,8654,2129.02
30-09-2024,Email,8850,3664.15
30-09-2024,App,8975,2462.09
30-09-2024,App,1798,4376.28
30-09-2024,SMS,2307,4844.96
30-09-2024,Social Media,7094,3221.91
30-09-2024,Social Media,6993,2023.52
30-09-2024,Social Media,2759,3820.99
30-09-2024,App,8317,2075.05
30-09-2024,SMS,3033,1050.47
29-09-2024,SMS,8057,4241.62
29-09-2024,App,9566,4495.05
29-09-2024,App,3662,1126.11
29-09-2024,App,7040,2463.87
29-09-2024,Social Media,3515,3594.68
29-09-2024,Social Media,5607,4829.25
29-09-2024,Email,1185,3687.23
29-09-2024,Social Media,1981,4097.54
29-09-2024,Email,7640,3022.77
28-09-2024,Email,7632,1025.98
28-09-2024,Email,9251,4163.77
28-09-2024,App,4121,4028.86
28-09-2024,SMS,5248,2125.76
28-09-2024,Email,5127,2805.9
28-09-2024,SMS,4155,2488.64
28-09-2024,Social Media,1108,4983.04
28-09-2024,Social Media,2275,3792.48
28-09-2024,App,6092,2085.63
27-09-2024,Social Media,2220,3807.42
27-09-2024,Email,7869,2433.89
27-09-2024,Social Media,8779,3919.23
27-09-2024,App,5602,2503.68
27-09-2024,Email,8842,2229.83
27-09-2024,App,2419,4988.39
27-09-2024,SMS,8299,4629.47
27-09-2024,Email,8770,4515.94
27-09-2024,SMS,7188,2851.2
26-09-2024,SMS,6359,1066.47
26-09-2024,Social Media,8414,1825.36
26-09-2024,App,2853,4012.49
26-09-2024,SMS,5611,1389.35
26-09-2024,Email,3422,3307.59
26-09-2024,SMS,2079,1983.91
26-09-2024,SMS,1592,4579.65
26-09-2024,App,8019,2216.38
26-09-2024,App,1452,4925.58
25-09-2024,Social Media,9737,2565.95
25-09-2024,SMS,1452,4240.4
25-09-2024,Email,4844,3690.93
25-09-2024,SMS,8209,3104.65
25-09-2024,App,5725,1133.26
25-09-2024,App,4389,4860.67
25-09-2024,App,1537,2416.66
25-09-2024,Email,9053,2619.72
25-09-2024,Email,5649,4874.66
24-09-2024,Social Media,9598,2805.32
24-09-2024,Email,3678,2373.92
24-09-2024,Email,8192,2976.54
24-09-2024,App,2597,4343.88
24-09-2024,Email,8485,3783.79
24-09-2024,Email,4442,2295.69
